county,candidate,party,votes
LAKE,White,WRITE-IN,0
LAPEER,"Goode, Jr.",UST,249
LAPEER,Alexander,WRITE-IN,0
LAPEER,Anderson,NLP,80
LAPEER,Hoefling,WRITE-IN,0
LAPEER,Johnson,WRITE-IN,72
LAPEER,Obama,DEM,18796
LAPEER,Romney,REP,23734
LAPEER,Stein,GRN,184
LAPEER,White,WRITE-IN,0
LEELANAU,"Goode, Jr.",UST,31
LEELANAU,Alexander,WRITE-IN,0
LEELANAU,Anderson,NLP,15
LEELANAU,Hoefling,WRITE-IN,0
LEELANAU,Johnson,WRITE-IN,12
LEELANAU,Obama,DEM,6576
LEELANAU,Romney,REP,7483
LEELANAU,Stein,GRN,59
LEELANAU,White,WRITE-IN,0
LENAWEE,"Goode, Jr.",UST,234
LENAWEE,Alexander,WRITE-IN,0
LENAWEE,Anderson,NLP,51
LENAWEE,Hoefling,WRITE-IN,0
LENAWEE,Johnson,WRITE-IN,103
LENAWEE,Obama,DEM,21776
LENAWEE,Romney,REP,22351
LENAWEE,Stein,GRN,209
LENAWEE,White,WRITE-IN,0
LIVINGSTON,"Goode, Jr.",UST,308
LIVINGSTON,Alexander,WRITE-IN,0
LIVINGSTON,Anderson,NLP,90
LIVINGSTON,Hoefling,WRITE-IN,0
LIVINGSTON,Johnson,WRITE-IN,265
LIVINGSTON,Obama,DEM,37216
LIVINGSTON,Romney,REP,60083
LIVINGSTON,Stein,GRN,375
LIVINGSTON,White,WRITE-IN,0
LUCE,"Goode, Jr.",UST,6
LUCE,Alexander,WRITE-IN,0
LUCE,Anderson,NLP,3
LUCE,Hoefling,WRITE-IN,0
LUCE,Johnson,WRITE-IN,0
LUCE,Obama,DEM,991
LUCE,Romney,REP,1580
LUCE,Stein,GRN,16
LUCE,White,WRITE-IN,0
MACKINAC,"Goode, Jr.",UST,24
MACKINAC,Alexander,WRITE-IN,0
MACKINAC,Anderson,NLP,9
MACKINAC,Hoefling,WRITE-IN,0
MACKINAC,Johnson,WRITE-IN,1
MACKINAC,Obama,DEM,2652
MACKINAC,Romney,REP,3397
MACKINAC,Stein,GRN,16
MACKINAC,White,WRITE-IN,0
MACOMB,"Goode, Jr.",UST,1368
MACOMB,Alexander,WRITE-IN,1
MACOMB,Anderson,NLP,403
MACOMB,Hoefling,WRITE-IN,1
MACOMB,Johnson,WRITE-IN,653
MACOMB,Obama,DEM,208016
MACOMB,Romney,REP,191913
MACOMB,Stein,GRN,1729
MACOMB,White,WRITE-IN,2
MANISTEE,"Goode, Jr.",UST,71
MANISTEE,Alexander,WRITE-IN,0
MANISTEE,Anderson,NLP,15
MANISTEE,Hoefling,WRITE-IN,0
MANISTEE,Johnson,WRITE-IN,10
MANISTEE,Obama,DEM,6473
MANISTEE,Romney,REP,5737
MANISTEE,Stein,GRN,96
MANISTEE,White,WRITE-IN,0
MARQUETTE,"Goode, Jr.",UST,120
MARQUETTE,Alexander,WRITE-IN,0
MARQUETTE,Anderson,NLP,37
MARQUETTE,Hoefling,WRITE-IN,1
MARQUETTE,Johnson,WRITE-IN,63
MARQUETTE,Obama,DEM,18115
MARQUETTE,Romney,REP,13606
MARQUETTE,Stein,GRN,252
MARQUETTE,White,WRITE-IN,0
MASON,"Goode, Jr.",UST,56
MASON,Alexander,WRITE-IN,0
MASON,Anderson,NLP,15
MASON,Hoefling,WRITE-IN,0
MASON,Johnson,WRITE-IN,15
MASON,Obama,DEM,6856
MASON,Romney,REP,7580
MASON,Stein,GRN,81
MASON,White,WRITE-IN,1
MECOSTA,"Goode, Jr.",UST,90
MECOSTA,Alexander,WRITE-IN,0
MECOSTA,Anderson,NLP,20
MECOSTA,Hoefling,WRITE-IN,0
MECOSTA,Johnson,WRITE-IN,33
MECOSTA,Obama,DEM,7515
MECOSTA,Romney,REP,9176
MECOSTA,Stein,GRN,79
MECOSTA,White,WRITE-IN,0
MENOMINEE,"Goode, Jr.",UST,55
MENOMINEE,Alexander,WRITE-IN,0
MENOMINEE,Anderson,NLP,12
MENOMINEE,Hoefling,WRITE-IN,0
MENOMINEE,Johnson,WRITE-IN,4
MENOMINEE,Obama,DEM,5242
MENOMINEE,Romney,REP,5564
MENOMINEE,Stein,GRN,46
MENOMINEE,White,WRITE-IN,0
MIDLAND,"Goode, Jr.",UST,159
MIDLAND,Alexander,WRITE-IN,0
MIDLAND,Anderson,NLP,41
MIDLAND,Hoefling,WRITE-IN,0
MIDLAND,Johnson,WRITE-IN,0
MIDLAND,Obama,DEM,17450
MIDLAND,Romney,REP,23919
MIDLAND,Stein,GRN,185
MIDLAND,White,WRITE-IN,0
MISSAUKEE,"Goode, Jr.",UST,44
MISSAUKEE,Alexander,WRITE-IN,0
MISSAUKEE,Anderson,NLP,9
MISSAUKEE,Hoefling,WRITE-IN,0
MISSAUKEE,Johnson,WRITE-IN,3
MISSAUKEE,Obama,DEM,2274
MISSAUKEE,Romney,REP,4665
MISSAUKEE,Stein,GRN,32
MISSAUKEE,White,WRITE-IN,0
MONROE,"Goode, Jr.",UST,312
MONROE,Alexander,WRITE-IN,0
MONROE,Anderson,NLP,85
MONROE,Hoefling,WRITE-IN,0
MONROE,Johnson,WRITE-IN,167
MONROE,Obama,DEM,36310
MONROE,Romney,REP,35593
MONROE,Stein,GRN,382
MONROE,White,WRITE-IN,4
MONTCALM,"Goode, Jr.",UST,160
MONTCALM,Alexander,WRITE-IN,0
MONTCALM,Anderson,NLP,46
