county,candidate,votes
Craighead,Barack Obama / Joe Biden,10527
Crawford,Barack Obama / Joe Biden,4881
Crittenden,Barack Obama / Joe Biden,9487
Cross,Barack Obama / Joe Biden,2279
Dallas,Barack Obama / Joe Biden,1337
Desha,Barack Obama / Joe Biden,2443
Drew,Barack Obama / Joe Biden,2630
Faulkner,Barack Obama / Joe Biden,13621
Franklin,Barack Obama / Joe Biden,1726
Fulton,Barack Obama / Joe Biden,1452
Garland,Barack Obama / Joe Biden,13804
Grant,Barack Obama / Joe Biden,1468
Greene,Barack Obama / Joe Biden,4000
Hempstead,Barack Obama / Joe Biden,2468
Hot Spring,Barack Obama / Joe Biden,3830
Howard,Barack Obama / Joe Biden,1471
Independence,Barack Obama / Joe Biden,3281
Izard,Barack Obama / Joe Biden,1524
Jackson,Barack Obama / Joe Biden,2095
Jefferson,Barack Obama / Joe Biden,17470
Johnson,Barack Obama / Joe Biden,2799
Lafayette,Barack Obama / Joe Biden,1173
Lawrence,Barack Obama / Joe Biden,1788
Lee,Barack Obama / Joe Biden,2107
Lincoln,Barack Obama / Joe Biden,1425
Little River,Barack Obama / Joe Biden,1552
Logan,Barack Obama / Joe Biden,2009
Lonoke,Barack Obama / Joe Biden,5625
Madison,Barack Obama / Joe Biden,2099
Marion,Barack Obama / Joe Biden,2037
Miller,Barack Obama / Joe Biden,4518
Mississippi,Barack Obama / Joe Biden,6467
Monroe,Barack Obama / Joe Biden,1583
Montgomery,Barack Obama / Joe Biden,920
Nevada,Barack Obama / Joe Biden,1314
Newton,Barack Obama / Joe Biden,993
Ouachita,Barack Obama / Joe Biden,4633
Perry,Barack Obama / Joe Biden,1187
Phillips,Barack Obama / Joe Biden,5202
Pike,Barack Obama / Joe Biden,851
Poinsett,Barack Obama / Joe Biden,2390
Polk,Barack Obama / Joe Biden,1556
Pope,Barack Obama / Joe Biden,5126
Prairie,Barack Obama / Joe Biden,880
Pulaski,Barack Obama / Joe Biden,87248
Randolph,Barack Obama / Joe Biden,2046
Saline,Barack Obama / Joe Biden,12869
Scott,Barack Obama / Joe Biden,897
Searcy,Barack Obama / Joe Biden,814
Sebastian,Barack Obama / Joe Biden,13092
Sevier,Barack Obama / Joe Biden,1042
Sharp,Barack Obama / Joe Biden,2092
St. Francis,Barack Obama / Joe Biden,4910
Stone,Barack Obama / Joe Biden,1356
Union,Barack Obama / Joe Biden,6196
Van Buren,Barack Obama / Joe Biden,1832
Washington,Barack Obama / Joe Biden,28236
White,Barack Obama / Joe Biden,5765
Woodruff,Barack Obama / Joe Biden,1340
Yell,Barack Obama / Joe Biden,1722
Arkansas,Peta Lindsay / Yari Osorio,5
Ashley,Peta Lindsay / Yari Osorio,31
Baxter,Peta Lindsay / Yari Osorio,9
Benton,Peta Lindsay / Yari Osorio,74
Boone,Peta Lindsay / Yari Osorio,34
Bradley,Peta Lindsay / Yari Osorio,15
Calhoun,Peta Lindsay / Yari Osorio,3
Carroll,Peta Lindsay / Yari Osorio,6
Chicot,Peta Lindsay / Yari Osorio,7
Clark,Peta Lindsay / Yari Osorio,10
Clay,Peta Lindsay / Yari Osorio,10
Cleburne,Peta Lindsay / Yari Osorio,32
Cleveland,Peta Lindsay / Yari Osorio,11
Columbia,Peta Lindsay / Yari Osorio,4
Conway,Peta Lindsay / Yari Osorio,12
Craighead,Peta Lindsay / Yari Osorio,33
Crawford,Peta Lindsay / Yari Osorio,30
Crittenden,Peta Lindsay / Yari Osorio,20
Cross,Peta Lindsay / Yari Osorio,9
Dallas,Peta Lindsay / Yari Osorio,18
Desha,Peta Lindsay / Yari Osorio,17
Drew,Peta Lindsay / Yari Osorio,7
Faulkner,Peta Lindsay / Yari Osorio,45
Franklin,Peta Lindsay / Yari Osorio,10
Fulton,Peta Lindsay / Yari Osorio,20
Garland,Peta Lindsay / Yari Osorio,39
Grant,Peta Lindsay / Yari Osorio,8
Greene,Peta Lindsay / Yari Osorio,80
Hempstead,Peta Lindsay / Yari Osorio,30
Hot Spring,Peta Lindsay / Yari Osorio,28
Howard,Peta Lindsay / Yari Osorio,13
Independence,Peta Lindsay / Yari Osorio,35
Izard,Peta Lindsay / Yari Osorio,18
Jackson,Peta Lindsay / Yari Osorio,15
Jefferson,Peta Lindsay / Yari Osorio,33
Johnson,Peta Lindsay / Yari Osorio,13
Lafayette,Peta Lindsay / Yari Osorio,11
Lawrence,Peta Lindsay / Yari Osorio,18
Lee,Peta Lindsay / Yari Osorio,2
Lincoln,Peta Lindsay / Yari Osorio,12
Little River,Peta Lindsay / Yari Osorio,17
Logan,Peta Lindsay / Yari Osorio,11
Lonoke,Peta Lindsay / Yari Osorio,29
Madison,Peta Lindsay / Yari Osorio,8
Marion,Peta Lindsay / Yari Osorio,13
Miller,Peta Lindsay / Yari Osorio,24
Mississippi,Peta Lindsay / Yari Osorio,75
Monroe,Peta Lindsay / Yari Osorio,2
Montgomery,Peta Lindsay / Yari Osorio,9
Nevada,Peta Lindsay / Yari Osorio,6
Newton,Peta Lindsay / Yari Osorio,7
Ouachita,Peta Lindsay / Yari Osorio,16
Perry,Peta Lindsay / Yari Osorio,18
Phillips,Peta Lindsay / Yari Osorio,17
Pike,Peta Lindsay / Yari Osorio,5
Poinsett,Peta Lindsay / Yari Osorio,11
Polk,Peta Lindsay / Yari Osorio,22
Pope,Peta Lindsay / Yari Osorio,23
Prairie,Peta Lindsay / Yari Osorio,15
Pulaski,Peta Lindsay / Yari Osorio,133
Randolph,Peta Lindsay / Yari Osorio,9
Saline,Peta Lindsay / Yari Osorio,33
Scott,Peta Lindsay / Yari Osorio,12
Searcy,Peta Lindsay / Yari Osorio,16
Sebastian,Peta Lindsay / Yari Osorio,61
Sevier,Peta Lindsay / Yari Osorio,18
Sharp,Peta Lindsay / Yari Osorio,23
St. Francis,Peta Lindsay / Yari Osorio,17
Stone,Peta Lindsay / Yari Osorio,13
Union,Peta Lindsay / Yari Osorio,63
Van Buren,Peta Lindsay / Yari Osorio,15
Washington,Peta Lindsay / Yari Osorio,67
White,Peta Lindsay / Yari Osorio,55
Woodruff,Peta Lindsay / Yari Osorio,18
Yell,Peta Lindsay / Yari Osorio,26
