fips,county,candidate,votes
39053,Gallia,"Johnson, Gary (L)",79
39053,Gallia,"Obama, Barack (D)",4557
39053,Gallia,"Romney, Mitt (R)",7750
39053,Gallia,"Stein, Jill (G)",69
39053,Gallia,"Daniels, Susan (WI)",0
39053,Gallia,"Keyton, Nelson (WI)",0
39053,Gallia,"Reed, Jill (WI)",0
39053,Gallia,"Robertson, Platt (WI)",0
39053,Gallia,"Randall, Terry (WI)",0
39053,Gallia,"Vargo, Mike (WI)",0
39055,Geauga,"Alexander, Stewart (S)",17
39055,Geauga,"Duncan, Richard (I)",100
39055,Geauga,"Goode, Virgil (C)",64
39055,Geauga,"Johnson, Gary (L)",386
39055,Geauga,"Obama, Barack (D)",19659
39055,Geauga,"Romney, Mitt (R)",30589
39055,Geauga,"Stein, Jill (G)",182
39055,Geauga,"Daniels, Susan (WI)",0
39055,Geauga,"Keyton, Nelson (WI)",0
39055,Geauga,"Reed, Jill (WI)",0
39055,Geauga,"Robertson, Platt (WI)",0
39055,Geauga,"Randall, Terry (WI)",0
39055,Geauga,"Vargo, Mike (WI)",0
39057,Greene,"Alexander, Stewart (S)",35
39057,Greene,"Duncan, Richard (I)",113
39057,Greene,"Goode, Virgil (C)",88
39057,Greene,"Johnson, Gary (L)",933
39057,Greene,"Obama, Barack (D)",32256
39057,Greene,"Romney, Mitt (R)",49819
39057,Greene,"Stein, Jill (G)",245
39057,Greene,"Daniels, Susan (WI)",0
39057,Greene,"Keyton, Nelson (WI)",0
39057,Greene,"Reed, Jill (WI)",1
39057,Greene,"Robertson, Platt (WI)",0
39057,Greene,"Randall, Terry (WI)",0
39057,Greene,"Vargo, Mike (WI)",0
39059,Guernsey,"Alexander, Stewart (S)",16
39059,Guernsey,"Duncan, Richard (I)",64
39059,Guernsey,"Goode, Virgil (C)",47
39059,Guernsey,"Johnson, Gary (L)",174
39059,Guernsey,"Obama, Barack (D)",7450
39059,Guernsey,"Romney, Mitt (R)",8993
39059,Guernsey,"Stein, Jill (G)",70
39059,Guernsey,"Daniels, Susan (WI)",0
39059,Guernsey,"Keyton, Nelson (WI)",0
39059,Guernsey,"Reed, Jill (WI)",0
39059,Guernsey,"Robertson, Platt (WI)",0
39059,Guernsey,"Randall, Terry (WI)",0
39059,Guernsey,"Vargo, Mike (WI)",0
39061,Hamilton,"Alexander, Stewart (S)",121
39061,Hamilton,"Duncan, Richard (I)",415
39061,Hamilton,"Goode, Virgil (C)",337
39061,Hamilton,"Johnson, Gary (L)",3756
39061,Hamilton,"Obama, Barack (D)",219927
39061,Hamilton,"Romney, Mitt (R)",193326
39061,Hamilton,"Stein, Jill (G)",1012
39061,Hamilton,"Daniels, Susan (WI)",0
39061,Hamilton,"Keyton, Nelson (WI)",0
39061,Hamilton,"Reed, Jill (WI)",0
39061,Hamilton,"Robertson, Platt (WI)",0
39061,Hamilton,"Randall, Terry (WI)",0
39061,Hamilton,"Vargo, Mike (WI)",0
39063,Hancock,"Alexander, Stewart (S)",30
39063,Hancock,"Duncan, Richard (I)",101
39063,Hancock,"Goode, Virgil (C)",74
39063,Hancock,"Johnson, Gary (L)",352
39063,Hancock,"Obama, Barack (D)",12564
39063,Hancock,"Romney, Mitt (R)",22443
39063,Hancock,"Stein, Jill (G)",130
39063,Hancock,"Daniels, Susan (WI)",0
39063,Hancock,"Keyton, Nelson (WI)",0
39063,Hancock,"Reed, Jill (WI)",0
39063,Hancock,"Robertson, Platt (WI)",0
39063,Hancock,"Randall, Terry (WI)",0
39063,Hancock,"Vargo, Mike (WI)",0
39065,Hardin,"Alexander, Stewart (S)",12
39065,Hardin,"Duncan, Richard (I)",62
39065,Hardin,"Goode, Virgil (C)",26
39065,Hardin,"Johnson, Gary (L)",172
39065,Hardin,"Obama, Barack (D)",4619
39065,Hardin,"Romney, Mitt (R)",7489
39065,Hardin,"Stein, Jill (G)",68
39065,Hardin,"Daniels, Susan (WI)",0
39065,Hardin,"Keyton, Nelson (WI)",0
39065,Hardin,"Reed, Jill (WI)",0
39065,Hardin,"Robertson, Platt (WI)",0
39065,Hardin,"Randall, Terry (WI)",0
39065,Hardin,"Vargo, Mike (WI)",1
39067,Harrison,"Alexander, Stewart (S)",10
39067,Harrison,"Duncan, Richard (I)",38
39067,Harrison,"Goode, Virgil (C)",15
39067,Harrison,"Johnson, Gary (L)",62
39067,Harrison,"Obama, Barack (D)",2950
39067,Harrison,"Romney, Mitt (R)",4019
39067,Harrison,"Stein, Jill (G)",47
39067,Harrison,"Daniels, Susan (WI)",0
39067,Harrison,"Keyton, Nelson (WI)",0
39067,Harrison,"Reed, Jill (WI)",0
39067,Harrison,"Robertson, Platt (WI)",0
39067,Harrison,"Randall, Terry (WI)",0
39067,Harrison,"Vargo, Mike (WI)",0
39069,Henry,"Alexander, Stewart (S)",13
39069,Henry,"Duncan, Richard (I)",53
39069,Henry,"Goode, Virgil (C)",31
39069,Henry,"Johnson, Gary (L)",169
39069,Henry,"Obama, Barack (D)",5658
39069,Henry,"Romney, Mitt (R)",8257
39069,Henry,"Stein, Jill (G)",55
39069,Henry,"Daniels, Susan (WI)",0
39069,Henry,"Keyton, Nelson (WI)",0
39069,Henry,"Reed, Jill (WI)",0
39069,Henry,"Robertson, Platt (WI)",0
39069,Henry,"Randall, Terry (WI)",0
39069,Henry,"Vargo, Mike (WI)",0
39071,Highland,"Alexander, Stewart (S)",15
39071,Highland,"Duncan, Richard (I)",85
39071,Highland,"Goode, Virgil (C)",37
39071,Highland,"Johnson, Gary (L)",176
39071,Highland,"Obama, Barack (D)",6049
39071,Highland,"Romney, Mitt (R)",11410
39071,Highland,"Stein, Jill (G)",67
39071,Highland,"Daniels, Susan (WI)",0
39071,Highland,"Keyton, Nelson (WI)",0
39071,Highland,"Reed, Jill (WI)",0
39071,Highland,"Robertson, Platt (WI)",0
