county,candidate,votes
Ouachita,"Peta Lindsay, Yari Osorio Socialism and Liberation",5
Ouachita,"Jerry White, Phyllis Scherrer Socialist Equality",8
Ouachita,"James Harris, Alyson Kennedy Socialist Workers",14
Ouachita,"Sheila Tittle, Matthew Turner We The People",34
Plaquemines,"Barack Obama, Joe Biden Democratic",3599
Plaquemines,"Jill Stein, Cheri Honkala Green",29
Plaquemines,"Gary Johnson, James P. Gray Libertarian",93
Plaquemines,"Mitt Romney, Paul Ryan Republican",6471
Plaquemines,"Virgil Goode, James Clymer Constitution",9
Plaquemines,"Ross Anderson, Luis Rodriguez Justice",8
Plaquemines,"Jack Fellure, Toby Davis Prohibition",10
Plaquemines,"Peta Lindsay, Yari Osorio Socialism and Liberation",7
Plaquemines,"Jerry White, Phyllis Scherrer Socialist Equality",2
Plaquemines,"James Harris, Alyson Kennedy Socialist Workers",2
Plaquemines,"Sheila Tittle, Matthew Turner We The People",9
Pointe Coupee,"Barack Obama, Joe Biden Democratic",5436
Pointe Coupee,"Jill Stein, Cheri Honkala Green",46
Pointe Coupee,"Gary Johnson, James P. Gray Libertarian",55
Pointe Coupee,"Mitt Romney, Paul Ryan Republican",6548
Pointe Coupee,"Virgil Goode, James Clymer Constitution",21
Pointe Coupee,"Ross Anderson, Luis Rodriguez Justice",8
Pointe Coupee,"Jack Fellure, Toby Davis Prohibition",8
Pointe Coupee,"Peta Lindsay, Yari Osorio Socialism and Liberation",9
Pointe Coupee,"Jerry White, Phyllis Scherrer Socialist Equality",4
Pointe Coupee,"James Harris, Alyson Kennedy Socialist Workers",4
Pointe Coupee,"Sheila Tittle, Matthew Turner We The People",8
Rapides,"Barack Obama, Joe Biden Democratic",20045
Rapides,"Jill Stein, Cheri Honkala Green",188
Rapides,"Gary Johnson, James P. Gray Libertarian",368
Rapides,"Mitt Romney, Paul Ryan Republican",37193
Rapides,"Virgil Goode, James Clymer Constitution",73
Rapides,"Ross Anderson, Luis Rodriguez Justice",48
Rapides,"Jack Fellure, Toby Davis Prohibition",15
Rapides,"Peta Lindsay, Yari Osorio Socialism and Liberation",17
Rapides,"Jerry White, Phyllis Scherrer Socialist Equality",10
Rapides,"James Harris, Alyson Kennedy Socialist Workers",11
Rapides,"Sheila Tittle, Matthew Turner We The People",51
Red River,"Barack Obama, Joe Biden Democratic",2253
Red River,"Jill Stein, Cheri Honkala Green",12
Red River,"Gary Johnson, James P. Gray Libertarian",38
Red River,"Mitt Romney, Paul Ryan Republican",2483
Red River,"Virgil Goode, James Clymer Constitution",5
Red River,"Ross Anderson, Luis Rodriguez Justice",5
Red River,"Jack Fellure, Toby Davis Prohibition",4
Red River,"Peta Lindsay, Yari Osorio Socialism and Liberation",2
Red River,"Jerry White, Phyllis Scherrer Socialist Equality",1
Red River,"James Harris, Alyson Kennedy Socialist Workers",2
Red River,"Sheila Tittle, Matthew Turner We The People",2
Richland,"Barack Obama, Joe Biden Democratic",3387
Richland,"Jill Stein, Cheri Honkala Green",23
Richland,"Gary Johnson, James P. Gray Libertarian",41
Richland,"Mitt Romney, Paul Ryan Republican",5846
Richland,"Virgil Goode, James Clymer Constitution",15
Richland,"Ross Anderson, Luis Rodriguez Justice",6
Richland,"Jack Fellure, Toby Davis Prohibition",3
Richland,"Peta Lindsay, Yari Osorio Socialism and Liberation",3
