county,candidate,votes
TIPTON,"Ross C. ""Rocky"" Anderson",25
TIPTON,Gary Johnson,148
TIPTON,Merlin Miller,10
TROUSDALE,Mitt Romney,1612
TROUSDALE,Barack Obama,1240
TROUSDALE,Virgil Goode,16
TROUSDALE,Jill Stein,7
TROUSDALE,"Ross C. ""Rocky"" Anderson",2
TROUSDALE,Gary Johnson,22
TROUSDALE,Merlin Miller,6
UNICOI,Mitt Romney,5032
UNICOI,Barack Obama,1913
UNICOI,Virgil Goode,40
UNICOI,Jill Stein,27
UNICOI,"Ross C. ""Rocky"" Anderson",10
UNICOI,Gary Johnson,59
UNICOI,Merlin Miller,5
UNION,Mitt Romney,4282
UNION,Barack Obama,1478
UNION,Virgil Goode,17
UNION,Jill Stein,13
UNION,"Ross C. ""Rocky"" Anderson",12
UNION,Gary Johnson,26
UNION,Merlin Miller,0
VAN BUREN,Mitt Romney,1386
VAN BUREN,Barack Obama,875
VAN BUREN,Virgil Goode,6
VAN BUREN,Jill Stein,5
VAN BUREN,"Ross C. ""Rocky"" Anderson",3
VAN BUREN,Gary Johnson,22
VAN BUREN,Merlin Miller,3
WARREN,Mitt Romney,8010
WARREN,Barack Obama,4752
WARREN,Virgil Goode,68
WARREN,Jill Stein,37
WARREN,"Ross C. ""Rocky"" Anderson",23
WARREN,Gary Johnson,108
WARREN,Merlin Miller,17
WASHINGTON,Mitt Romney,32808
WASHINGTON,Barack Obama,14325
WASHINGTON,Virgil Goode,184
WASHINGTON,Jill Stein,188
WASHINGTON,"Ross C. ""Rocky"" Anderson",58
WASHINGTON,Gary Johnson,451
WASHINGTON,Merlin Miller,18
WAYNE,Mitt Romney,4253
WAYNE,Barack Obama,1163
WAYNE,Virgil Goode,19
WAYNE,Jill Stein,10
WAYNE,"Ross C. ""Rocky"" Anderson",7
WAYNE,Gary Johnson,28
WAYNE,Merlin Miller,6
WEAKLEY,Mitt Romney,8605
WEAKLEY,Barack Obama,3548
WEAKLEY,Virgil Goode,38
WEAKLEY,Jill Stein,28
WEAKLEY,"Ross C. ""Rocky"" Anderson",26
WEAKLEY,Gary Johnson,77
WEAKLEY,Merlin Miller,15
WHITE,Mitt Romney,6197
WHITE,Barack Obama,2795
WHITE,Virgil Goode,37
WHITE,Jill Stein,22
WHITE,"Ross C. ""Rocky"" Anderson",11
WHITE,Gary Johnson,68
