county,candidate,votes
Echols,GARY JOHNSON (L),12
Effingham,GARY JOHNSON (L),248
Elbert,GARY JOHNSON (L),103
Emanuel,GARY JOHNSON (L),55
Evans,GARY JOHNSON (L),27
Fannin,GARY JOHNSON (L),127
Fayette,GARY JOHNSON (L),726
Floyd,GARY JOHNSON (L),456
Forsyth,GARY JOHNSON (L),1203
Franklin,GARY JOHNSON (L),146
Fulton,GARY JOHNSON (L),4661
Gilmer,GARY JOHNSON (L),134
Glascock,GARY JOHNSON (L),22
Glynn,GARY JOHNSON (L),281
Gordon,GARY JOHNSON (L),249
Grady,GARY JOHNSON (L),50
Greene,GARY JOHNSON (L),51
Gwinnett,GARY JOHNSON (L),4132
Habersham,GARY JOHNSON (L),155
Hall,GARY JOHNSON (L),844
Hancock,GARY JOHNSON (L),11
Haralson,GARY JOHNSON (L),137
Harris,GARY JOHNSON (L),145
Hart,GARY JOHNSON (L),116
Heard,GARY JOHNSON (L),61
Henry,GARY JOHNSON (L),813
Houston,GARY JOHNSON (L),639
Irwin,GARY JOHNSON (L),30
Jackson,GARY JOHNSON (L),313
Jasper,GARY JOHNSON (L),50
Jeff Davis,GARY JOHNSON (L),65
Jefferson,GARY JOHNSON (L),38
Jenkins,GARY JOHNSON (L),15
Johnson,GARY JOHNSON (L),27
Jones,GARY JOHNSON (L),87
Lamar,GARY JOHNSON (L),91
Lanier,GARY JOHNSON (L),38
Laurens,GARY JOHNSON (L),136
Lee,GARY JOHNSON (L),110
Liberty,GARY JOHNSON (L),147
Lincoln,GARY JOHNSON (L),33
Long,GARY JOHNSON (L),52
Lowndes,GARY JOHNSON (L),323
Lumpkin,GARY JOHNSON (L),196
Macon,GARY JOHNSON (L),25
Madison,GARY JOHNSON (L),152
Marion,GARY JOHNSON (L),25
McDuffie,GARY JOHNSON (L),70
McIntosh,GARY JOHNSON (L),68
Meriwether,GARY JOHNSON (L),76
Miller,GARY JOHNSON (L),18
Mitchell,GARY JOHNSON (L),39
Monroe,GARY JOHNSON (L),128
Montgomery,GARY JOHNSON (L),34
Morgan,GARY JOHNSON (L),88
Murray,GARY JOHNSON (L),228
Muscogee,GARY JOHNSON (L),484
Newton,GARY JOHNSON (L),393
Oconee,GARY JOHNSON (L),288
Oglethorpe,GARY JOHNSON (L),95
Paulding,GARY JOHNSON (L),704
Peach,GARY JOHNSON (L),78
Pickens,GARY JOHNSON (L),151
Pierce,GARY JOHNSON (L),55
Pike,GARY JOHNSON (L),84
Polk,GARY JOHNSON (L),175
Pulaski,GARY JOHNSON (L),18
Putnam,GARY JOHNSON (L),78
Quitman,GARY JOHNSON (L),6
Rabun,GARY JOHNSON (L),128
Randolph,GARY JOHNSON (L),17
Richmond,GARY JOHNSON (L),583
Rockdale,GARY JOHNSON (L),330
Schley,GARY JOHNSON (L),14
Screven,GARY JOHNSON (L),39
Seminole,GARY JOHNSON (L),46
Spalding,GARY JOHNSON (L),272
Stephens,GARY JOHNSON (L),137
Stewart,GARY JOHNSON (L),8
Sumter,GARY JOHNSON (L),78
Talbot,GARY JOHNSON (L),24
Taliaferro,GARY JOHNSON (L),4
Tattnall,GARY JOHNSON (L),62
Taylor,GARY JOHNSON (L),18
Telfair,GARY JOHNSON (L),51
Terrell,GARY JOHNSON (L),20
Thomas,GARY JOHNSON (L),139
Tift,GARY JOHNSON (L),82
Toombs,GARY JOHNSON (L),74
Towns,GARY JOHNSON (L),62
Treutlen,GARY JOHNSON (L),24
Troup,GARY JOHNSON (L),260
Turner,GARY JOHNSON (L),21
Twiggs,GARY JOHNSON (L),25
Union,GARY JOHNSON (L),164
Upson,GARY JOHNSON (L),74
Walker,GARY JOHNSON (L),365
Walton,GARY JOHNSON (L),413
Ware,GARY JOHNSON (L),98
Warren,GARY JOHNSON (L),7
Washington,GARY JOHNSON (L),58
Wayne,GARY JOHNSON (L),111
Webster,GARY JOHNSON (L),4
Wheeler,GARY JOHNSON (L),22
White,GARY JOHNSON (L),154
Whitfield,GARY JOHNSON (L),346
Wilcox,GARY JOHNSON (L),15
Wilkes,GARY JOHNSON (L),39
Wilkinson,GARY JOHNSON (L),23
Worth,GARY JOHNSON (L),60
