,,,,,"President",,,,,,,,,,,,,"U.S. Senate",,,"U.S. House of Representatives - District 01",,,,"U.S. House of Representatives - District 02",,"U.S. House of Representatives - District 03",,,,,"U.S. House of Representatives - District 04",,,"U.S. House of Representatives - District 05",,,"U.S. House of Representatives - District 06",,"U.S. House of Representatives - District 07",,"U.S. House of Representatives - District 08",,"U.S. House of Representatives - District 09",,,"U.S. House of Representatives - District 10",,,"U.S. House of Representatives - District 11","U.S. House of Representatives - District 12",,"U.S. House of Representatives - District 13",,"U.S. House of Representatives - District 14",,,,,,,"U.S. House of Representatives - District 15",,"U.S. House of Representatives - District 16",,"Ohio Supreme Court - Term Commencing 01/01/2013",,"Ohio Supreme Court - Term Commencing 01/02/2013",,"Ohio Supreme Court - Unexpired Term Ending 12/31/2014",,"Constitutional Convention",,"Redistricting Proposal",
"County","Region","Media Market","Registered Voters","Number of Voters","Alexander, Stewart (S)","Duncan, Richard (I)","Goode, Virgil (C)","Johnson, Gary (L)","Obama, Barack (D)","Romney, Mitt (R)","Stein, Jill (G)","Daniels, Susan (WI)","Keyton, Nelson (WI)","Reed, Jill (WI)","Robertson, Platt (WI)","Randall, Terry (WI)","Vargo, Mike (WI)","Brown, Sherrod (D)","Mandel, Josh (R)","Rupert, Scott (I)","Berns, Jim (L)","Chabot, Steve (R)","Sinnard, Jeff (D)","Stevenson, Rich (G)","Smith, William (D)","Wenstrup, Brad (R)","Beatty, Joyce (D)","Ehrbar, Richard (L)","Fitrakis, Bob (G)","Long, Chris (R)","Brown, Jeff (WI)","Jordan, Jim (R)","Kalla, Chris (L)","Slone, Jim (D)","Eberly, Eric (L)","Latta, Bob (R)","Zimmann, Angela (D)","Johnson, Bill (R)","Wilson, Charlie (D)","Gibbs, Bob (R)","Healy-Abrams, Joyce (D)","Boehner, John (R)","Condit Jr., James (WI)","Kaptur, Marcy (D)","Stipe, Sean (L)","Wurzelbacher, Samuel (R)","Harlow, David (L)","Neuhardt, Sharen (D)","Turner, Mike (R)","Fudge, Marcia (D)","Reese, Jim (D)","Tiberi, Pat (R)","Agana, Marisha (R)","Ryan, Tim (D)","Blanchard, Dale (D)","Joyce, David (R)","Macko, David (L)","Mastromatteo, Elaine (G)","Robinson, Erick Donald (WI)","Winfield, Steven (WI)","Zurbrugg, Aaron J. (WI)","Lang, Pat (D)","Stivers, Steve (R)","Renacci, Jim (R)","Sutton, Betty (D)","O'Donnell, Terrence (NP)","Skindell, Michael (NP)","Cupp, Robert (NP)","O'Neill, William (NP)","Brown, Yvette (NP)","Kennedy, Sharon (NP)","Issue One - Votes For","Issue One - Votes Against","Issue Two - Votes For","Issue Two - Votes Against"
"Hamilton","Southwest","Cincinnati",564429,421997,121,415,337,3756,219927,193326,1012,0,0,0,0,0,0,219299,176058,14388,6137,125781,106526,4942,71969,83391,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,201687,108964,141099,170616,146509,175808,116625,235945,151750,225100
"Hancock","Northwest","Toledo",54671,35944,30,101,74,352,12564,22443,130,0,0,0,0,0,0,11894,21520,1773,,,,,,,,,,,,,,,1285,22894,10572,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,20101,6120,17436,9066,6784,18624,8324,24032,9370,22956
"Hardin","Central","Columbus",18446,12561,12,62,26,172,4619,7489,68,0,0,0,0,0,1,4416,7131,717,,,,,,,,,,,,,,,582,7375,3969,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,6820,2602,6611,3405,3205,6336,2850,8625,2739,8584
"Harrison","Southeast","Wheeling",10684,7289,10,38,15,62,2950,4019,47,0,0,0,0,0,0,3176,3498,389,,,,,,,,,,,,,,,,,,3558,3443,,,," ",,,,,,,,,,,,,,,,,,,,,,,3341,1877,2216,3146,1704,3690,1675,4984,1793,4782
"Henry","Northwest","Toledo",20251,14257,13,53,31,169,5658,8257,55,0,0,0,0,0,0,5448,7738,829,,,,,,,,,,,,,,,454,8986,4605,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,7925,2486,5748,4542,2667,7382,3447,9213,3771,9078
"Highland","Southwest","Cincinnati",28647,18032,15,85,37,176,6049,11410,67,0,0,0,0,0,0,5980,10678,964,,,,,5681,11245,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,10116,3364,7356,6019,3462,9775,3884,11998,3815,12533
"Hocking","Central","Columbus",18334,12890,13,49,34,133,6157,6285,57,0,0,0,0,0,0,5717,6057,802,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,4992,7264,,,6952,2594,4619,5037,3771,5907,2668,8659,3255,8028
"Holmes","Northeast","Cleveland",18585,12043,12,45,33,93,2608,8702,43,0,0,0,0,0,0,2506,8252,633,,,,,,,,,,,,,,,,,,,,9443,1997,," ",,,,,,,,,,,,,,,,,,,,,,,5625,1560,4141,2906,2019,4978,1836,8031,1864,7884
"Huron","Northeast","Cleveland",36803,24895,31,115,76,260,11006,13060,115,0,0,0,0,0,0,10083,12443,1751,,,,,,,,,,,,6010,832,5498,,,,,,6595,4119,," ",,,,,,,,,,,,,,,,,,,,,,,14308,4416,9633,8653,5865,12540,5854,16437,6273,15964
"Jackson","Southeast","Charleston",24037,13579,18,64,34,94,5166,7904,101,0,0,0,0,0,0,5258,7268,658,,,,,,,,,,,,,,,,,,7556,5204,,,," ",,,,,,,,,,,,,,,,,,,,,,,5799,3069,3684,5183,3143,6009,3046,8620,3544,8237
"Jefferson","Southeast","Wheeling",49729,33631,39,141,65,248,15385,17034,157,0,0,0,0,0,0,16031,14786,1496,,,,,,,,,,,,,,,,,,15888,16296,,,," ",,,,,,,,,,,,,,,,,,,,,,,15083,7726,10240,13042,7132,17223,8959,21246,9343,20104
"Knox","Central","Columbus",42674,28962,14,101,74,306,10470,17266,114,1,0,0,0,0,42,10186,16237,1562,,,,,,,,,,,,,,,,,,,,17692,9499,," ",,,,,,,,,,,,,,,,,,,,,,,14810,5887,11428,9478,8015,12813,6138,18965,6955,18499
"Lake","Northeast","Cleveland",153878,119409,46,271,153,1073,57680,58744,436,0,0,0,0,1,0,54981,52795,6128,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,42411,55919,3538,4681,1,4,2,,,,,62859,22502,37523,46512,31053,52945,33604,67747,33672,69774
"Lawrence","Southeast","Charleston",49759,26358,18,107,49,171,10744,14651,93,0,0,0,0,0,0,11085,12407,1076,,,,,,,,,,,,,,,,,,12562,11848,,,," ",,,,,,,,,,,,,,,,,,,,,,,11184,7328,8065,10305,4906,13965,6041,16812,6615,16352
"Licking","Central","Columbus",112532,82085,68,287,200,817,34201,45503,311,0,0,0,0,0,3,33097,42691,4445,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,27099,52048,,,,,,,,,,,,,,44400,17028,31755,29721,26808,35909,19643,52510,22571,51485
"Logan","West","Dayton",30563,21462,14,76,58,214,7062,13633,80,0,0,0,0,0,0,6479,13303,1240,,,,,,,,,,,,14472,960,5066,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,11995,4054,11329,5481,4143,11831,4610,14404,4210,15115
